正股代码,正股名称,转债名称,状态,交易所,正股价,配10张需股数,评级,每股配债额(元),百元含权(元),保守版持股数,保守版投入(元),保守版安全垫(%),激进版持股数,激进版投入(元),激进版安全垫(%),有取整优势,同意注册日期,股权登记日,申购日,登记日次日开盘涨幅(%),登记日次日最低涨幅(%),登记日次日收盘涨幅(%)
301215,中汽股份,中汽转债,已过登记日,深市,5.26,1275,AA+,0.7843,14.91,1300,6838.0,8.5,1300,6838.0,8.34,否,2026-06-10,2026-06-10,2026-06-10,-6.63,-10.75,-9.86
688377,迪威尔,迪威转债,已过登记日,沪市,23.63,258,AA-,3.876,16.4,300,7089.0,9.35,200,4726.0,12.06,是,2026-06-03,2026-06-03,2026-06-03,-7.54,-12.4,-9.12
000422,湖北宜化,宜化转债,已过登记日,深市,13.26,330,AA+,3.0303,22.85,400,5304.0,13.03,400,5304.0,10.75,否,2026-06-25,2026-06-25,2026-06-25,-7.51,-8.0,-7.79
301499,维科精密,维科转债,已过登记日,深市,29.9,220,A+,4.5455,15.2,300,8970.0,8.67,300,8970.0,6.35,否,2026-06-25,2026-06-25,2026-06-25,-10.26,-13.9,-12.32
605589,圣泉集团,圣泉转债,已过登记日,沪市,66.71,339,AA+,2.9499,4.42,400,26684.0,2.52,200,13342.0,4.27,是,2026-06-24,2026-06-24,2026-06-24,-1.72,-4.57,10.0
688668,鼎通科技,鼎通转债,已过登记日,沪市,376.01,150,A+,6.6667,1.77,200,75202.0,1.01,100,37601.0,1.52,是,2026-06-23,2026-06-23,2026-06-23,-2.75,-2.75,-0.47
600456,宝钛股份,宝钛转债,已过登记日,沪市,26.4,135,AAA,7.4074,28.06,200,5280.0,15.99,100,2640.0,21.59,是,2026-06-23,2026-06-23,2026-06-23,-9.22,-9.85,-8.17
688200,华峰测控,华峰转债,已过登记日,沪市,469.1,268,AA,3.7313,0.8,300,140730.0,0.45,200,93820.0,0.61,是,2026-06-22,2026-06-22,2026-06-22,-0.71,-0.71,3.98
688484,南芯科技,南芯转债,已过登记日,沪市,50.26,269,AA+,3.7175,7.4,300,15078.0,4.22,200,10052.0,5.67,是,2026-06-17,2026-06-17,2026-06-17,-2.26,-2.47,-0.41
301059,金三江,三江转债,已过登记日,深市,11.18,794,A+,1.2594,11.27,800,8944.0,6.42,800,8944.0,6.37,否,2026-06-16,2026-06-16,2026-06-16,-10.33,-12.86,-12.38
603809,豪能股份,豪26转债,已过登记日,沪市,8.64,512,AA-,1.9531,22.61,600,5184.0,12.89,300,2592.0,21.99,是,2026-06-12,2026-06-12,2026-06-12,-7.52,-7.52,-4.67
